created_at,text
Sun May 19 09:48:38 +0000 2019,@ameensol @HumanityDAO Yea I can do that. Check the followers on @HumanityDAO though. Lots of cypherpunks. Gives so… https://t.co/crKuLI6jGG
Sun May 19 09:51:34 +0000 2019,@ameensol @HumanityDAO Yea I mean it’s literally manual now it’s ridiculous. You have me and community members clic… https://t.co/B1Kwiw1KBZ
Sun May 19 10:39:00 +0000 2019,@PhABCD @ameensol @HumanityDAO @MolochDAO They knew @HumanityDAO solves PoS and didn’t tell anyone for fear of host… https://t.co/8xcvMzAlue
Sun May 19 10:40:36 +0000 2019,@PhABCD @ameensol @HumanityDAO @MolochDAO @VladZamfir Would like all misallocated funds at EF and Aragon to be dist… https://t.co/Av0jvj6119
Sun May 19 10:41:32 +0000 2019,@PhABCD @ameensol @HumanityDAO @MolochDAO @VladZamfir Sorry if you’re in one of those teams and you have made progr… https://t.co/uBaxmIa9jS
Sun May 19 10:41:44 +0000 2019,@PhABCD @ameensol @HumanityDAO @MolochDAO @VladZamfir ETH 2.0 plans are irrelevant!
Sun May 19 10:44:33 +0000 2019,@PhABCD @VitalikButerin @VladZamfir Sure so Bitcoin solves Byzantine fault tolerance through proof of work. They si… https://t.co/rWWpkkDp3g
Sun May 19 10:45:19 +0000 2019,@PhABCD @VitalikButerin @VladZamfir .@HumanityDAO cleverly solves through iterated prisoner’s dilemma game with unk… https://t.co/YzfmVZSahn
Sun May 19 10:46:35 +0000 2019,@PhABCD @VitalikButerin @VladZamfir And it solves Sybil resistance through this insane Twitter game we’re all playi… https://t.co/U41UMCSIkE
Sun May 19 10:47:41 +0000 2019,@PhABCD @VitalikButerin @VladZamfir @HumanityDAO https://t.co/xJRTc0g2S6
