time,text
Tue May 21 00:51:39 +0000 2019,@androolloyd @PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth @HumanityDAO JUST NEED EVERYONE TO TRY OUT… https://t.co/VIwTJgbthd
Tue May 21 00:52:22 +0000 2019,@androolloyd @PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth @HumanityDAO YEA IT'S WORKING CHECK EMERGENT CO… https://t.co/kdiGbnXcFx
Tue May 21 00:53:11 +0000 2019,@androolloyd @PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth @HumanityDAO WHY DO YOU THINK NO ONE HAS SUCCES… https://t.co/8PPVSe1zGT
Tue May 21 02:54:16 +0000 2019,GUYS I AM VERY VERY SORRY
Tue May 21 02:54:31 +0000 2019,FOR THE NEXT COUPLE OF WEEKS ALL THE TWEETS YOU SEE WILL BE ALL CAPS
Tue May 21 02:54:51 +0000 2019,THIS IS THE BEST WAY I'VE FOUND TO TRY TO TEACH PEOPLE THE TRUTH
Tue May 21 02:55:05 +0000 2019,SO WHILE I'M TWEETING IN ALL CAPS
Tue May 21 02:55:16 +0000 2019,KEEP IN MIND THAT EVERYTHING I SAY I BELIEVE TO BE TRUE
Tue May 21 02:55:25 +0000 2019,NO MATTER HOW CRAZY
Tue May 21 02:55:42 +0000 2019,YOU CAN DOUBT THAT I'M WRONG. THAT'S NORMAL I'M A PERSON ON THE INTERNET.
Tue May 21 02:55:51 +0000 2019,BUT YOU CAN ONLY DOUBT ME WITH FACTS
Tue May 21 02:56:03 +0000 2019,NO EMOTION BASED LOGIC LIKE THAT I'M ACTING MANIC
Tue May 21 02:56:21 +0000 2019,FACTS ONLY. I AM CONSTRUCTING A LOGICAL GAME WE CAN ALL AGREE IS REASONABLE.
Tue May 21 02:56:35 +0000 2019,I'M SO SORRY HAHAHAHA THIS IS NOT WHO I AM BUT THIS IS HOW I MUST PLAY THE GAME
Tue May 21 02:56:41 +0000 2019,YOU WILL UNDERSTAND EVENTUALLY
Tue May 21 02:56:51 +0000 2019,I'M TWEETING IN ALL CAPS BUT I AM NOT MANIC
Tue May 21 02:57:00 +0000 2019,I AM PLAYING A CAREFULLY CONSTRUCTED GAME
Tue May 21 02:57:17 +0000 2019,I HAVE CREATED A PROOF OF STAKE ALGORITHM IN A FEW HUNDRED LINES OF SOLIDITY
Tue May 21 02:57:20 +0000 2019,IT WORKS
Tue May 21 02:57:42 +0000 2019,YOU CAN SEE THAT IT WORKS BECAUSE YOU CAN SEE THE LIST OF HUMANS OVER AT @HumanityDAO IS GROWING
Tue May 21 02:57:53 +0000 2019,IF THE LIST IS DEFEATED THAT IS A LOGICAL ARGUMENT THAT I'M WRONG
Tue May 21 02:58:11 +0000 2019,BUT UNTIL YOU SYBIL ATTACK THE LIST SUCCESSFULLY YOU HAVE NO VALID SAY IN THIS MATTER
Tue May 21 02:58:20 +0000 2019,THE PROOF OF STAKE CONSENSUS WORKS AND IT'S FUCKING EPIC
Tue May 21 02:58:36 +0000 2019,I AM THE PROOF OF STAKE ALGORITHM'S HUMBLE PROPAGANDA MACHINE
Tue May 21 02:58:55 +0000 2019,IT'S INSANE THAT I'VE BEEN PLACED IN THIS IMPORTANT ROLE BUT THAT'S HOW THE INTERNET WORKS TODAY
Tue May 21 02:59:22 +0000 2019,@nntaleb WROTE A BOOK CALLED SKIN IN THE GAME THAT CREATED ESSENTIALLY PROOF OF STAKE AS A LOGIC ARGUMENT
Tue May 21 02:59:47 +0000 2019,"YOU ARE ALLOWED TO BE A TOTAL ASSHOLE AS LONG AS NOTHING YOU SAY CAN BE DISPUTED WITH FACT, ONLY EMOTION"
